annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;
2017027;SAMEDI  ;04/03/2017;04/05/2017;28;14;37;32;4;4;4-14-28-32-37+4;0;0;1;327742,5;617;1143,2;26910;11,3;394534;5,5;585454;2;6 036 389;eur;
2017026;MERCREDI;01/03/2017;01/05/2017;33;31;16;46;20;5;16-20-31-33-46+5;0;0;0;0;359;2077,1;17202;12,8;265105;5,9;494834;2;4 447 172;eur;
