annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;nombre_de_gagnant_au_rang8;rapport_du_rang8;nombre_de_gagnant_au_rang9;rapport_du_rang9;nombre_de_codes_gagnants;rapport_codes_gagnants;codes_gagnants;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;promotion_second_tirage;combinaison_gagnant_second_tirage_en_ordre_croissant;nombre_de_gagnant_au_rang_1_second_tirage;rapport_du_rang1_second_tirage;nombre_de_gagnant_au_rang_2_second_tirage;rapport_du_rang2_second_tirage;nombre_de_gagnant_au_rang_3_second_tirage;rapport_du_rang3_second_tirage;nombre_de_gagnant_au_rang_4_second_tirage;rapport_du_rang4_second_tirage;numero_jokerplus;devise;
20222093;MERCREDI;03/08/2022;03/10/2022;45;10;5;40;32;5;5-10-32-40-45+5;0;3000000;6;26992,4;39;1013,5;264;540;1961;43,4;12757;24;29242;8,1;200413;4,7;394977;2,2;10;20000;M 7538 5852,I 4633 1764,F 2366 8173,Q 2074 2014,S 6907 0682,A 5138 7991,N 0539 0042,B 4326 8515,E 3096 8757,P 7093 9983;10;14;23;28;31;;10-14-23-28-31;3;39016;366;286,7;12817;21;160661;3;Jokerplus indisponible;eur;
20222092;LUNDI   ;01/08/2022;01/10/2022;38;1;4;23;30;6;1-4-23-30-38+6;0;2000000;2;72206,7;25;1409,9;278;457,3;1267;59,9;12848;21,2;19210;11;189532;4,4;257794;2,2;10;20000;C 2091 3108,D 4468 6572,S 6907 2812,F 2177 2238,U 9469 7275,M 2284 3713,K 8911 1530,L 9410 9846,V 2671 8789,C 7186 4533;15;24;36;45;47;;15-24-36-45-47;0;100000;155;754;6784;44,3;102720;3;8 724 758;eur;
