annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;numero_jokerplus;devise;
2017001;VENDREDI;13/01/2017;15/03/2017;10;12;30;24;6;2;6-10-12-24-30+2;0;0;14;47971;2970;486,6;89335;7;1014094;4,4;1162890;2;5 163 249;eur;
2016002;VENDREDI;16/09/2016;16/11/2016;23;31;14;7;36;2;7-14-23-31-36+2;1;13550865;2;251668,5;1158;935,4;48738;9,6;670731;5;851371;2;3 872 999;eur;
